Study_Hours,Attendance,Assignment_Score,Internal_Marks,Result
4.4,87.9,60.4,44.2,0
9.6,51.2,44.3,72.1,1
7.6,51.1,64.6,47.0,0
6.4,66.2,58.7,53.1,0
2.4,74.4,80.6,49.2,0
2.4,88.5,76.3,46.9,0
1.5,84.2,61.9,88.7,0
8.8,72.3,53.1,53.6,0
6.4,63.7,99.3,95.3,1
7.4,99.9,67.2,98.0,1
1.2,71.3,81.3,72.1,0
9.7,72.6,48.4,44.3,0
8.5,58.2,69.1,59.3,0
2.9,89.7,41.7,86.9,0
2.6,84.7,70.3,58.9,0
2.7,61.0,97.8,40.7,0
3.7,54.1,63.1,71.2,0
5.7,84.0,42.3,89.9,1
4.9,82.7,41.9,86.7,0
3.6,63.7,63.3,46.4,0
6.5,97.5,49.6,78.7,1
2.3,57.6,41.4,49.3,0
3.6,71.6,85.4,49.2,0
4.3,97.2,67.5,91.8,1
5.1,71.0,57.4,51.2,0
8.1,81.9,94.0,52.1,1
2.8,69.9,47.0,35.0,0
5.6,63.7,97.4,91.6,0
6.3,99.2,58.8,86.5,1
1.4,70.5,93.3,75.8,0
6.5,94.7,76.2,83.8,1
2.5,61.5,89.6,44.9,0
1.6,60.7,99.0,64.8,0
9.5,51.6,57.3,57.8,1
9.7,82.6,97.7,41.1,1
8.3,68.4,63.4,66.6,1
3.7,93.2,63.1,94.8,0
1.9,73.7,60.4,37.6,0
7.2,98.4,72.5,53.9,0
5.0,59.3,49.2,48.5,0
2.1,93.4,73.2,50.5,0
5.5,88.8,72.5,94.0,1
1.3,88.5,85.7,65.4,0
9.2,92.2,90.0,65.3,1
3.3,88.1,66.4,84.4,1
7.0,81.3,58.1,45.0,0
3.8,56.6,55.6,66.7,0
5.7,51.6,51.7,62.9,0
5.9,96.0,43.5,73.8,1
2.7,80.8,60.5,100.0,0
9.7,89.8,56.2,85.0,1
8.0,74.1,98.0,60.9,1
9.5,55.9,73.5,88.8,1
9.1,56.3,60.8,46.1,0
6.4,84.3,74.8,37.0,1
9.3,71.5,48.4,48.3,0
1.8,60.0,66.6,57.1,0
2.8,74.6,77.6,68.2,0
1.4,53.2,69.3,75.0,0
3.9,79.1,64.1,94.2,0
4.5,63.4,99.6,68.1,0
3.4,89.9,92.8,67.6,0
8.5,65.5,77.4,38.3,0
4.2,72.8,74.2,37.3,0
3.5,50.6,77.2,70.8,0
5.9,53.6,52.1,63.5,0
2.3,69.6,63.7,89.5,0
8.2,74.0,42.4,45.4,0
1.7,80.0,68.5,36.6,0
9.9,64.6,72.6,64.2,1
8.0,84.7,53.7,50.4,0
2.8,93.0,97.8,38.2,0
1.0,89.0,94.6,82.1,0
8.3,52.0,83.3,42.3,0
7.4,74.0,72.0,74.5,1
7.6,55.2,92.2,53.3,1
7.9,62.1,47.8,46.3,0
