email_text,label
Let's catch up sometime next week!,ham
Don't forget to submit your project by Friday.,ham
Win a free iPhone now!!! Click here.,spam
Can you send me the report when it's ready?,ham
Meeting has been rescheduled to next Monday.,ham
Let's catch up sometime next week!,ham
Can you send me the report when it's ready?,ham
Don't forget to submit your project by Friday.,ham
Limited-time offer! Free membership upgrade.,spam
Let's catch up sometime next week!,ham
Don't forget to submit your project by Friday.,ham
Congratulations! You’ve been selected for a cash prize.,spam
Let's catch up sometime next week!,ham
Can you send me the report when it's ready?,ham
Limited-time offer! Free membership upgrade.,spam
"Hey, are we still on for lunch tomorrow?",ham
Can you send me the report when it's ready?,ham
Can you send me the report when it's ready?,ham
You won a lottery. Claim your money now.,spam
Don't forget to submit your project by Friday.,ham
"Hey, are we still on for lunch tomorrow?",ham
Can you send me the report when it's ready?,ham
Don't forget to submit your project by Friday.,ham
Meeting has been rescheduled to next Monday.,ham
Let's catch up sometime next week!,ham
You won a lottery. Claim your money now.,spam
Can you send me the report when it's ready?,ham
Let's catch up sometime next week!,ham
You won a lottery. Claim your money now.,spam
You won a lottery. Claim your money now.,spam
Don't forget to submit your project by Friday.,ham
Congratulations! You’ve been selected for a cash prize.,spam
Congratulations! You’ve been selected for a cash prize.,spam
"Hey, are we still on for lunch tomorrow?",ham
Meeting has been rescheduled to next Monday.,ham
You won a lottery. Claim your money now.,spam
Don't forget to submit your project by Friday.,ham
Congratulations! You’ve been selected for a cash prize.,spam
Congratulations! You’ve been selected for a cash prize.,spam
Limited-time offer! Free membership upgrade.,spam
Limited-time offer! Free membership upgrade.,spam
Limited-time offer! Free membership upgrade.,spam
You won a lottery. Claim your money now.,spam
Let's catch up sometime next week!,ham
Can you send me the report when it's ready?,ham
Don't forget to submit your project by Friday.,ham
"Hey, are we still on for lunch tomorrow?",ham
Don't forget to submit your project by Friday.,ham
You won a lottery. Claim your money now.,spam
Limited-time offer! Free membership upgrade.,spam
Get cheap loans instantly without any paperwork.,spam
Meeting has been rescheduled to next Monday.,ham
Can you send me the report when it's ready?,ham
You won a lottery. Claim your money now.,spam
Win a free iPhone now!!! Click here.,spam
Congratulations! You’ve been selected for a cash prize.,spam
Don't forget to submit your project by Friday.,ham
Don't forget to submit your project by Friday.,ham
Don't forget to submit your project by Friday.,ham
Don't forget to submit your project by Friday.,ham
Meeting has been rescheduled to next Monday.,ham
Can you send me the report when it's ready?,ham
Win a free iPhone now!!! Click here.,spam
Win a free iPhone now!!! Click here.,spam
"Hey, are we still on for lunch tomorrow?",ham
Win a free iPhone now!!! Click here.,spam
Win a free iPhone now!!! Click here.,spam
Let's catch up sometime next week!,ham
Win a free iPhone now!!! Click here.,spam
Congratulations! You’ve been selected for a cash prize.,spam
Let's catch up sometime next week!,ham
Can you send me the report when it's ready?,ham
Can you send me the report when it's ready?,ham
Win a free iPhone now!!! Click here.,spam
Can you send me the report when it's ready?,ham
Meeting has been rescheduled to next Monday.,ham
"Hey, are we still on for lunch tomorrow?",ham
Win a free iPhone now!!! Click here.,spam
"Hey, are we still on for lunch tomorrow?",ham
Can you send me the report when it's ready?,ham
Let's catch up sometime next week!,ham
Win a free iPhone now!!! Click here.,spam
Don't forget to submit your project by Friday.,ham
Limited-time offer! Free membership upgrade.,spam
Let's catch up sometime next week!,ham
Don't forget to submit your project by Friday.,ham
Don't forget to submit your project by Friday.,ham
Don't forget to submit your project by Friday.,ham
